[DOMAIN:标签] [CAT:二次元角色/作品] touhou | 东方
[DOMAIN:标签] [CAT:二次元角色/作品] ezio_auditore_da_firenze | 艾吉奥·奥迪托雷·达·佛罗伦萨
[DOMAIN:标签] [CAT:二次元角色/角色] honolulu_(summer_accident?!)_(azur_lane) | 火奴鲁鲁（夏日意外？！）（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/作品] sophie_twilight | 苏菲·暮光
[DOMAIN:标签] [CAT:二次元角色/作品] sakamoto_days | 坂本日常
[DOMAIN:标签] [CAT:二次元角色/作品] aeug | 奥古
[DOMAIN:标签] [CAT:二次元角色/作品] vanilla_ice | 香草冰
[DOMAIN:标签] [CAT:二次元角色/作品] akuma_nihmune | 恶魔尼姆恩
[DOMAIN:标签] [CAT:二次元角色/作品] senjou_no_valkyria_3 | 战场女武神3
[DOMAIN:标签] [CAT:二次元角色/作品] bellezza_felutia | 美丽费卢蒂亚
[DOMAIN:标签] [CAT:二次元角色/作品] advent_cirno | 降临琪露诺
[DOMAIN:标签] [CAT:二次元角色/作品] robotech | 太空堡垒
[DOMAIN:标签] [CAT:二次元角色/作品] miyoshi_sana | 三好纱菜
[DOMAIN:标签] [CAT:二次元角色/角色] psychic_miku_(project_voltage) | 超能力未来（Project Voltage）
[DOMAIN:标签] [CAT:二次元角色/作品] chunithm | 中二节奏
[DOMAIN:标签] [CAT:二次元角色/作品] maehara_shinobu | 前原忍
[DOMAIN:标签] [CAT:二次元角色/作品] iyami | 伊亚米
[DOMAIN:标签] [CAT:二次元角色/作品] komari_chika | 小鞠千花
[DOMAIN:标签] [CAT:二次元角色/角色] alina_(arknights) | 阿丽娜（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/作品] emboar | 炎武王
[DOMAIN:标签] [CAT:二次元角色/作品] utsushimi_kemii | 写实凯米
[DOMAIN:标签] [CAT:二次元角色/作品] love_live!_nijigasaki_high_school_idol_club_kanketsu-hen | 爱与演唱会！虹咲学园学园偶像同好会 完结篇
[DOMAIN:标签] [CAT:二次元角色/角色] saiga-12_(girls'_frontline) | 赛嘎-12（少女前线）
[DOMAIN:标签] [CAT:二次元角色/作品] kamiya_midori | 神谷翠
[DOMAIN:标签] [CAT:二次元角色/角色] hornet_(hollow_knight) | 黄蜂（空洞骑士）
[DOMAIN:标签] [CAT:二次元角色/作品] serafall_leviathan | 塞拉芙尔·利维坦
[DOMAIN:标签] [CAT:二次元角色/作品] kin-iro_loveriche | 金色恋情
[DOMAIN:标签] [CAT:二次元角色/角色] hecatia_lapislazuli_(cosplay) | 赫卡提亚·拉碧斯拉祖利（角色扮演）
[DOMAIN:标签] [CAT:二次元角色/角色] morgan_le_fay_(queen_of_winter)_(fate) | 摩根·勒·菲（冬之女王）（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] mahou_shoujo_madoka_magica_plus | 魔法少女小圆Plus
[DOMAIN:标签] [CAT:二次元角色/作品] gon-san | 刚先生
[DOMAIN:标签] [CAT:二次元角色/角色] kitkallos_(yu-gi-oh!) | 奇塔卡洛斯（游戏王！）
[DOMAIN:标签] [CAT:二次元角色/角色] arctic_fox_(kemono_friends) | 北极狐（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] suzumiya_haruhi-chan_no_yuuutsu | 凉宫春日的忧郁
[DOMAIN:标签] [CAT:二次元角色/作品] kawashiro_mitori | 川代美鸟
[DOMAIN:标签] [CAT:二次元角色/作品] little_mac | 小麦克
[DOMAIN:标签] [CAT:二次元角色/作品] atri | 亚托莉
[DOMAIN:标签] [CAT:二次元角色/作品] takamura_yui | 鹰村优衣
[DOMAIN:标签] [CAT:二次元角色/作品] world_of_tanks | 坦克世界
[DOMAIN:标签] [CAT:二次元角色/角色] brid_(nikke) | 布丽德（妮基）
[DOMAIN:标签] [CAT:二次元角色/作品] saber_marionette_j | 剑刃人偶J
[DOMAIN:标签] [CAT:二次元角色/角色] laegjarn_(fire_emblem) | 莱格妮（火焰纹章）
[DOMAIN:标签] [CAT:二次元角色/作品] the_terminator | 终结者
[DOMAIN:标签] [CAT:二次元角色/作品] matangomu-chan | 弹弹球君
[DOMAIN:标签] [CAT:二次元角色/角色] huang_(granblue_fantasy) | 黄（碧蓝幻想）
[DOMAIN:标签] [CAT:二次元角色/角色] hanako_(jibaku_shounen_hanako-kun) | 花子（地缚少年花子君）
[DOMAIN:标签] [CAT:二次元角色/作品] lazulight | 琉璃光
[DOMAIN:标签] [CAT:二次元角色/角色] cinnamon_(nekopara) | 桂皮（巧克力与香子兰）
[DOMAIN:标签] [CAT:二次元角色/角色] yoko_(splatoon) | Yoko（斯普拉遁）
[DOMAIN:标签] [CAT:二次元角色/角色] plymouth_(azur_lane) | 普利茅斯（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/角色] lemuen_(arknights) | 勒缪安（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] nina_(breath_of_fire_iv) | 妮娜（龙战士IV）
[DOMAIN:标签] [CAT:二次元角色/作品] porygon-z | 多边兽Ｚ
[DOMAIN:标签] [CAT:二次元角色/作品] usami_taiga | 宇佐美大河
[DOMAIN:标签] [CAT:二次元角色/角色] daiwa_scarlet_(scarlet_nuit_etoile)_(umamusume) | 大和赤骥（绯红星夜）（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/角色] togami_byakuya_(danganronpa_2) | 十神白夜（弹丸论破2）
[DOMAIN:标签] [CAT:二次元角色/作品] oikura_sodachi | 老仓褥
[DOMAIN:标签] [CAT:二次元角色/角色] maiden_(nikke) | 少女（妮姬）
[DOMAIN:标签] [CAT:二次元角色/角色] lina_(michihasu) | 莉娜（道桥）
[DOMAIN:标签] [CAT:二次元角色/角色] elfuda_(elf-san_wa_yaserarenai.) | 埃尔芙田（精灵小姐瘦不下来）
[DOMAIN:标签] [CAT:二次元角色/角色] caren_hortensia_(amor_caren)_(second_ascension) | 卡莲·赫登西亚（爱之卡莲）（第二再临）
[DOMAIN:标签] [CAT:二次元角色/角色] yato_(arknights) | 夜刀（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/作品] saionji_kotoka | 西园寺琴鸟
[DOMAIN:标签] [CAT:二次元角色/角色] sancho_(project_moon) | 桑丘（Project Moon）
[DOMAIN:标签] [CAT:二次元角色/角色] romulus_(fate) | 罗穆路斯（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] hakuryuu_(azur_lane) | 白龙（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/角色] irene_(voyage_of_feathers)_(arknights) | 艾琳娜（羽迹航程）（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] chou-10cm-hou-chan_(hatsuzuki's) | 超10cm蜂酱（初月社）
[DOMAIN:标签] [CAT:二次元角色/角色] kappa_mob_(touhou) | 河童杂兵（东方）
[DOMAIN:标签] [CAT:二次元角色/作品] mitarai_shouta | 御手洗翔太
[DOMAIN:标签] [CAT:二次元角色/角色] caiman_(dorohedoro) | 开曼（咒术回战）
[DOMAIN:标签] [CAT:二次元角色/作品] virginia_maxwell | 弗吉尼亚·马克斯韦尔
[DOMAIN:标签] [CAT:二次元角色/角色] boryeon_(last_origin) | 宝莲（失落的起源）
[DOMAIN:标签] [CAT:二次元角色/作品] konori_mii | 小野里美衣
[DOMAIN:标签] [CAT:二次元角色/角色] grim_(twisted_wonderland) | 格里姆（扭曲仙境）
[DOMAIN:标签] [CAT:二次元角色/角色] blair_(soul_eater) | 布莱尔（噬魂师）
[DOMAIN:标签] [CAT:二次元角色/作品] no_more_heroes | 无主英雄
[DOMAIN:标签] [CAT:二次元角色/角色] yukong_(honkai:_star_rail) | 御空（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/角色] monk_(final_fantasy) | 武僧（最终幻想）
[DOMAIN:标签] [CAT:二次元角色/作品] tohsaka_aoi | 远坂葵
[DOMAIN:标签] [CAT:二次元角色/角色] yuugumo_kai_ni_(kancolle) | 夕云改二（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] higurashi_no_naku_koro_ni_mei | 寒蝉鸣泣之时·命
[DOMAIN:标签] [CAT:二次元角色/作品] choukou_sennin_haruka | 超香仙人遥
[DOMAIN:标签] [CAT:二次元角色/角色] chariot_(black_rock_shooter) | 战车（黑岩射手）
[DOMAIN:标签] [CAT:二次元角色/作品] jeremiah_gottwald | 杰雷米亚·哥德巴尔德
[DOMAIN:标签] [CAT:二次元角色/作品] dissidia_012_final_fantasy | 最终幻想 纷争012
[DOMAIN:标签] [CAT:二次元角色/作品] cithis | 希西斯
[DOMAIN:标签] [CAT:二次元角色/角色] red_pyro_(tf2) | 红色 pyro（军团要塞2）
[DOMAIN:标签] [CAT:二次元角色/角色] cuphead_(game) | 茶杯头（游戏）
[DOMAIN:标签] [CAT:二次元角色/作品] samurott | 大剑鬼
[DOMAIN:标签] [CAT:二次元角色/角色] double_(skullgirls) | 双生（骷髅女孩）
[DOMAIN:标签] [CAT:二次元角色/角色] nekomata_okayu_(wonderland) | 猫又粥（仙境）
[DOMAIN:标签] [CAT:二次元角色/作品] gundula_rall | 贡杜拉·拉尔
[DOMAIN:标签] [CAT:二次元角色/作品] granblue_fantasy_versus | 碧蓝幻想Versus
[DOMAIN:标签] [CAT:二次元角色/作品] gohan_beast | 悟饭野兽
[DOMAIN:标签] [CAT:二次元角色/作品] reploid | 雷普洛伊德
[DOMAIN:标签] [CAT:二次元角色/角色] rum_(girls_und_panzer) | 鲁姆（少女与战车）
[DOMAIN:标签] [CAT:二次元角色/作品] muse_dash | 喵斯快跑
[DOMAIN:标签] [CAT:二次元角色/角色] kyururu_(kemono_friends) | 球琉（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] amelia_wil_tesla_seyruun | 阿梅莉亚·威尔·特斯拉·赛伦
[DOMAIN:标签] [CAT:二次元角色/作品] akg_k-series_headphones | AKG K系列耳机
[DOMAIN:标签] [CAT:二次元角色/角色] walkure_(macross_delta) | 女武神（超时空要塞Δ）
[DOMAIN:标签] [CAT:二次元角色/作品] sherry_birkin | 雪莉·柏金
[DOMAIN:标签] [CAT:二次元角色/作品] gundam_barbatos | 高达巴尔巴托斯
[DOMAIN:标签] [CAT:二次元角色/作品] shingen_seiji | 信玄清次
[DOMAIN:标签] [CAT:二次元角色/角色] kanae_(tsukiman) | 香苗（月满）
[DOMAIN:标签] [CAT:二次元角色/作品] transformed_ditto | 百变怪变身形态
[DOMAIN:标签] [CAT:二次元角色/作品] viridi | 维尔迪
[DOMAIN:标签] [CAT:二次元角色/角色] katana_man_(chainsaw_man) | 刀男（链锯人）
[DOMAIN:标签] [CAT:二次元角色/作品] pelipper | 大嘴鸥
[DOMAIN:标签] [CAT:二次元角色/角色] multi_(to_heart) | 玛尔蒂（同班同学）
[DOMAIN:标签] [CAT:二次元角色/角色] lakshmibai_(fate) | 拉克什米芭伊（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] shimizu_kiyoko | 清水洁子
[DOMAIN:标签] [CAT:二次元角色/作品] xxxholic | 四月一日灵异事件簿
[DOMAIN:标签] [CAT:二次元角色/角色] rama_(fate) | 罗摩（命运系列）
[DOMAIN:标签] [CAT:二次元角色/作品] shiny_chariot | 闪耀战车
[DOMAIN:标签] [CAT:二次元角色/角色] nexas_(vtuber) | 奈克萨丝（虚拟主播）
[DOMAIN:标签] [CAT:二次元角色/作品] mayoi_neko_overrun! | 迷途猫Overrun!
[DOMAIN:标签] [CAT:二次元角色/作品] phichit_chulanont | 披集·朱拉暖
[DOMAIN:标签] [CAT:二次元角色/作品] gundam_exia | 能天使高达
[DOMAIN:标签] [CAT:二次元角色/角色] ray_(yakusoku_no_neverland) | 雷（约定的梦幻岛）
[DOMAIN:标签] [CAT:二次元角色/作品] city_hunter | 城市猎人
[DOMAIN:标签] [CAT:二次元角色/作品] sawaguchi_mai | 泽口舞
[DOMAIN:标签] [CAT:二次元角色/作品] nanobana_kinako | 菜之花黄粉
[DOMAIN:标签] [CAT:二次元角色/角色] scathacha_(granblue_fantasy) | 斯卡塔赫（碧蓝幻想）
[DOMAIN:标签] [CAT:二次元角色/作品] gary_oak | 小茂
[DOMAIN:标签] [CAT:二次元角色/角色] amy_(suisei_no_gargantia) | 艾米（翠星之加尔刚蒂亚）
[DOMAIN:标签] [CAT:二次元角色/作品] ryuu_ga_gotoku_0 | 如龙0
[DOMAIN:标签] [CAT:二次元角色/作品] kino_aki | 木乃秋
[DOMAIN:标签] [CAT:二次元角色/作品] mirage_farina_jenius | 幻影·法丽娜·珍妮斯
[DOMAIN:标签] [CAT:二次元角色/角色] satan_(umineko) | 撒旦（海猫鸣泣之时）
[DOMAIN:标签] [CAT:二次元角色/角色] kuroshio_kai_ni_(kancolle) | 黑潮改二（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] hiei_(yu_yu_hakusho) | 飞影（幽游白书）
[DOMAIN:标签] [CAT:二次元角色/作品] nakahara_misaki | 中原美咲
[DOMAIN:标签] [CAT:二次元角色/角色] nina_(breath_of_fire_iii) | 妮娜（龙战士III）
[DOMAIN:标签] [CAT:二次元角色/作品] cure_wonderful | 治愈奇妙
[DOMAIN:标签] [CAT:二次元角色/作品] aizawa_sakuya | 相泽咲夜
[DOMAIN:标签] [CAT:二次元角色/作品] yuezheng_ling | 乐正绫
[DOMAIN:标签] [CAT:二次元角色/角色] utnapishtim_operator_uniform_(blue_archive) | 乌特纳皮什提姆操作员制服（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] jiyan_(wuthering_waves) | 忌炎（鸣潮）
[DOMAIN:标签] [CAT:二次元角色/角色] solaria_(ebonyxh) | 索拉莉亚（EbonyXH作品）
[DOMAIN:标签] [CAT:二次元角色/作品] isara_mao | 伊莎拉真央
[DOMAIN:标签] [CAT:二次元角色/作品] youkai_watch_2 | 妖怪手表2
[DOMAIN:标签] [CAT:二次元角色/作品] matsukai_mao | 松海真生
[DOMAIN:标签] [CAT:二次元角色/角色] kurumi_(kantoku) | 胡桃（监督）
[DOMAIN:标签] [CAT:二次元角色/角色] dif_(difman) | 迪夫（迪夫曼）
[DOMAIN:标签] [CAT:二次元角色/作品] domon_kasshu | 多蒙·卡修
[DOMAIN:标签] [CAT:二次元角色/作品] hikasa_tomoshika | 日笠友鹿
[DOMAIN:标签] [CAT:二次元角色/作品] buizel | 泳圈鼬
[DOMAIN:标签] [CAT:二次元角色/作品] stella_vermillion | 史黛拉·维尔米利翁
[DOMAIN:标签] [CAT:二次元角色/作品] xemnas | 泽姆纳斯
[DOMAIN:标签] [CAT:二次元角色/作品] sumeragi_kaguya | 皇辉夜
[DOMAIN:标签] [CAT:二次元角色/作品] sora_no_method | 天体的方式
[DOMAIN:标签] [CAT:二次元角色/角色] xavier_(love_and_deepspace) | 泽维尔（恋与深空）
[DOMAIN:标签] [CAT:二次元角色/作品] yatogami_fuma | 八斗神风摩
[DOMAIN:标签] [CAT:二次元角色/角色] shirogane_noel_(dirndl) | 白银诺艾尔（连衣裙）
[DOMAIN:标签] [CAT:二次元角色/作品] qualidea_code | 心灵代码
[DOMAIN:标签] [CAT:二次元角色/角色] jaye_(arknights) | 杰伊（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/作品] kimberly_jackson | 金伯利·杰克逊
[DOMAIN:标签] [CAT:二次元角色/作品] penpen | 企鹅
[DOMAIN:标签] [CAT:二次元角色/角色] furutaka_kai_ni_(kancolle) | 古鹰改二（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] gotou_toushirou | 后藤俊郎
[DOMAIN:标签] [CAT:二次元角色/作品] crow_armbrust | 克劳·阿姆布鲁斯特
[DOMAIN:标签] [CAT:二次元角色/作品] presea_combatir | 普蕾希亚·康巴蒂尔
[DOMAIN:标签] [CAT:二次元角色/角色] gm_(mobile_suit) | 吉姆（机动战士）
[DOMAIN:标签] [CAT:二次元角色/作品] clefable | 皮可西
[DOMAIN:标签] [CAT:二次元角色/角色] beatrice_(princess_principal) | 比阿特丽斯（公主准则）
[DOMAIN:标签] [CAT:二次元角色/作品] tari_tari | 心连·情结
[DOMAIN:标签] [CAT:二次元角色/角色] tamamo_no_mae_(jk)_(fate) | 玉藻前（女子高中生）（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] puchiko | 小不点
[DOMAIN:标签] [CAT:二次元角色/角色] echidna_(queen's_blade) | 厄客德娜（女王之刃）
[DOMAIN:标签] [CAT:二次元角色/作品] alita | 阿丽塔
[DOMAIN:标签] [CAT:二次元角色/作品] super_robot_wars_30 | 超级机器人大战30
[DOMAIN:标签] [CAT:二次元角色/作品] apple_rabbit | 苹果兔
[DOMAIN:标签] [CAT:二次元角色/作品] melon-chan | 甜瓜酱
[DOMAIN:标签] [CAT:二次元角色/作品] lae'zel | 莱埃泽尔
[DOMAIN:标签] [CAT:二次元角色/作品] sora_no_woto | 空之音
[DOMAIN:标签] [CAT:二次元角色/作品] ikeda_kana | 池田华菜
[DOMAIN:标签] [CAT:二次元角色/作品] r_dorothy_wayneright | R·多萝西·温莱特
[DOMAIN:标签] [CAT:二次元角色/作品] x-23 | X-23
[DOMAIN:标签] [CAT:二次元角色/角色] botan_(yu_yu_hakusho) | 牡丹（幽游白书）
[DOMAIN:标签] [CAT:二次元角色/作品] yowamushi_pedal | 弱虫踏板
[DOMAIN:标签] [CAT:二次元角色/作品] pattadol | 帕塔朵
[DOMAIN:标签] [CAT:二次元角色/作品] aerodactyl | 化石翼龙
[DOMAIN:标签] [CAT:二次元角色/角色] elfriend_(shiranui_flare) | 精灵友伴（不知火弗莱尔）
[DOMAIN:标签] [CAT:二次元角色/作品] kuroki_tomoki | 黑木智贵
[DOMAIN:标签] [CAT:二次元角色/作品] rance | 兰斯
[DOMAIN:标签] [CAT:二次元角色/作品] bachira_meguru | 蜂乐回
[DOMAIN:标签] [CAT:二次元角色/作品] snoopy | 史努比
[DOMAIN:标签] [CAT:二次元角色/作品] howard_alt-eisen | 霍华德·阿尔特艾森
[DOMAIN:标签] [CAT:二次元角色/作品] togetic | 波克基古
[DOMAIN:标签] [CAT:二次元角色/角色] rafayel_(love_and_deepspace) | 拉斐尔（恋与深空）
[DOMAIN:标签] [CAT:二次元角色/作品] toujou_tsukasa | 东条司
[DOMAIN:标签] [CAT:二次元角色/作品] aoyama_blue_mountain | 青山蓝山
[DOMAIN:标签] [CAT:二次元角色/作品] katou_hazuki | 加藤叶月
[DOMAIN:标签] [CAT:二次元角色/作品] rock_pikmin | 岩石皮克敏
[DOMAIN:标签] [CAT:二次元角色/角色] light_dragon_(zelda) | 光之龙（塞尔达传说）
[DOMAIN:标签] [CAT:二次元角色/作品] sawamura_daichi | 泽村大地
[DOMAIN:标签] [CAT:二次元角色/角色] kakavasha_(honkai:_star_rail) | 卡卡瓦夏（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/作品] katsuragi_keima | 桂木桂马
[DOMAIN:标签] [CAT:二次元角色/角色] karakai_jouzu_no_(moto)_takagi-san | 擅长捉弄的（原）高木同学
[DOMAIN:标签] [CAT:二次元角色/作品] tsukamoto_yakumo | 冢本八云
[DOMAIN:标签] [CAT:二次元角色/角色] tasmanian_devil_(kemono_friends) | 袋獾（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] hiwatashi_nazuna | 樋渡那须奈
[DOMAIN:标签] [CAT:二次元角色/角色] cucouroux_(granblue_fantasy) | 库库鲁（碧蓝幻想）
[DOMAIN:标签] [CAT:二次元角色/作品] cecilia_lynne_adelhyde | 塞西莉亚·琳恩·阿德尔海德
[DOMAIN:标签] [CAT:二次元角色/角色] otomachi_una_(talkex) | 音街缥娜（Talkex）
[DOMAIN:标签] [CAT:二次元角色/角色] piyoko_(uruha_rushia) | 鹈鹕（乌羽琉璃亚）
[DOMAIN:标签] [CAT:二次元角色/角色] sideroca_(light_breeze)_(arknights) | 锡德罗卡（轻风）（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] murasaki_shikibu_(swimsuit_rider)_(first_ascension)_(fate) | 紫式部（泳装骑兵）（第一阶段）（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] susie_(kirby) | 苏西（星之卡比）
[DOMAIN:标签] [CAT:二次元角色/角色] saria_(the_law)_(arknights) | 塞雷娅（法典）（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] mela_(pokemon) | 梅拉（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/角色] ichika_(1ssakawaguchi) | 一花（1ssakawaguchi）
[DOMAIN:标签] [CAT:二次元角色/角色] they_(kiman) | 他们（基曼）
[DOMAIN:标签] [CAT:二次元角色/角色] atsuko_(swimsuit)_(blue_archive) | 敦子（泳装）（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] ukraine_(hetalia) | 乌克兰（黑塔利亚）
[DOMAIN:标签] [CAT:二次元角色/角色] lucy_(elfen_lied) | 露西（妖精的旋律）
[DOMAIN:标签] [CAT:二次元角色/作品] rogue_titan | 失控巨人
[DOMAIN:标签] [CAT:二次元角色/作品] yonezawa_natsumi | 米泽波夏美
[DOMAIN:标签] [CAT:二次元角色/角色] hero_(dq4) | 勇者（勇者斗恶龙4）
[DOMAIN:标签] [CAT:二次元角色/作品] michinoku_komaro | 陆奥小丸
[DOMAIN:标签] [CAT:二次元角色/作品] naruse_mio | 成濑未央
[DOMAIN:标签] [CAT:二次元角色/角色] vega_(street_fighter) | 维加（街头霸王）
[DOMAIN:标签] [CAT:二次元角色/作品] asumi_sena | 阿澄濑名
[DOMAIN:标签] [CAT:二次元角色/作品] kanchou | 馆长
[DOMAIN:标签] [CAT:二次元角色/作品] niimi_sora | 新美空
[DOMAIN:标签] [CAT:二次元角色/角色] emerada_(xenogears) | 艾梅拉达（异度装甲）
[DOMAIN:标签] [CAT:二次元角色/作品] kaze_no_klonoa | 风之克罗诺亚
[DOMAIN:标签] [CAT:二次元角色/角色] pix_(league_of_legends) | 皮克斯（英雄联盟）
[DOMAIN:标签] [CAT:二次元角色/作品] itsuka_shidou | 紫藤依月
[DOMAIN:标签] [CAT:二次元角色/作品] tionishia | 蒂奥妮夏
[DOMAIN:标签] [CAT:二次元角色/角色] duke_of_york_(azur_lane) | 约克公爵（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/作品] jason_todd | 杰森·托德
[DOMAIN:标签] [CAT:二次元角色/作品] tsujimoto_natsumi | 辻本夏美
[DOMAIN:标签] [CAT:二次元角色/作品] iris_wilson | 艾莉丝·威尔逊
[DOMAIN:标签] [CAT:二次元角色/作品] hanabatake_chaika | 花畑茶花
[DOMAIN:标签] [CAT:二次元角色/角色] vita_(lone_planetfarer)_(honkai_impact) | 维塔（孤星旅人）（崩坏冲击）
[DOMAIN:标签] [CAT:二次元角色/作品] shimizudani_ryuuka | 清水谷龙花
[DOMAIN:标签] [CAT:二次元角色/角色] bison_(arknights) | 拜松（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] sakura_miko_(work) | 樱巫女（工作服）
[DOMAIN:标签] [CAT:二次元角色/作品] arihara_tsubasa | 有原翼
[DOMAIN:标签] [CAT:二次元角色/角色] lamia_(pgr) | 拉弥亚（战双帕弥什）
[DOMAIN:标签] [CAT:二次元角色/角色] niko_(oneshot) | 妮可（一次通关）
[DOMAIN:标签] [CAT:二次元角色/角色] justin_(grandia) | 贾斯汀（格兰蒂亚）
[DOMAIN:标签] [CAT:二次元角色/作品] cure_wing | 愈翼
[DOMAIN:标签] [CAT:二次元角色/角色] asakura_karen_(heaven_burns_red) | 浅仓Karen（赫映红）
[DOMAIN:标签] [CAT:二次元角色/角色] lisa_(ponyo) | 丽莎（崖上的波妞）
[DOMAIN:标签] [CAT:二次元角色/作品] albert_wesker | 阿尔伯特·威斯克
[DOMAIN:标签] [CAT:二次元角色/作品] drizzile | 涌跃鸭
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_sleep | 宝可梦睡眠
[DOMAIN:标签] [CAT:二次元角色/作品] star_trek | 星际迷航
[DOMAIN:标签] [CAT:二次元角色/作品] nick_wilde | 尼克·王尔德
[DOMAIN:标签] [CAT:二次元角色/作品] beauty_and_the_beast | 美女与野兽
[DOMAIN:标签] [CAT:二次元角色/角色] ethel_(xenoblade) | 埃塞尔（异度神剑）
[DOMAIN:标签] [CAT:二次元角色/作品] classic_revenant | 经典归来者
[DOMAIN:标签] [CAT:二次元角色/角色] youngster_(pokemon) | 短裤小子（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/角色] finana_ryugu_(1st_costume) | 龙宫菲娜娜（第一服装）
[DOMAIN:标签] [CAT:二次元角色/角色] tiger_(kemono_friends) | 老虎（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] shyvana | 希瓦娜
[DOMAIN:标签] [CAT:二次元角色/作品] un-go | 因果日记
[DOMAIN:标签] [CAT:二次元角色/作品] kizaki_ren | 木崎莲
[DOMAIN:标签] [CAT:二次元角色/作品] konoe_a._mercury | 近卫·A·水星
[DOMAIN:标签] [CAT:二次元角色/作品] wakamiya_eve | 若宫惠
[DOMAIN:标签] [CAT:二次元角色/角色] shirakami_fubuki_(hololive_summer_2019) | 白上吹雪（Hololive 2019夏日）
[DOMAIN:标签] [CAT:二次元角色/作品] jesus | 耶稣
[DOMAIN:标签] [CAT:二次元角色/角色] sasaki_kanna_(kaedeko) | 佐佐木栞菜（枫子）
[DOMAIN:标签] [CAT:二次元角色/作品] kamen_rider_faiz | 假面骑士Faiz
[DOMAIN:标签] [CAT:二次元角色/作品] southern_ocean_oni | 南海鬼
[DOMAIN:标签] [CAT:二次元角色/角色] komaru_(himouto!_umaru-chan) | 小丸（干物妹！乌丸）
[DOMAIN:标签] [CAT:二次元角色/角色] chou-10cm-hou-chan_(teruzuki's) | 超10cm炮酱（照月型）
[DOMAIN:标签] [CAT:二次元角色/作品] houkago_no_pleiades | 放学后的昴星团
[DOMAIN:标签] [CAT:二次元角色/角色] ike_eveland_(1st_costume) | 艾克·艾夫兰（第一套装）
[DOMAIN:标签] [CAT:二次元角色/作品] audrey_burne | 奥黛丽·伯恩
[DOMAIN:标签] [CAT:二次元角色/作品] shimamura_charlotte | 岛村夏洛特
[DOMAIN:标签] [CAT:二次元角色/角色] sophocles_(pokemon) | Sophocles（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] marta_lualdi | 玛尔塔·卢阿尔迪
[DOMAIN:标签] [CAT:二次元角色/角色] shiranui_(nakiri_ayame) | 不知火（百鬼绫目）
[DOMAIN:标签] [CAT:二次元角色/角色] sidetail_miku_noodle_stopper_(meme) | 侧尾初音泡面压（梗）
[DOMAIN:标签] [CAT:二次元角色/作品] tom_and_jerry | 汤姆和杰瑞
[DOMAIN:标签] [CAT:二次元角色/角色] nah_(fire_emblem) | 娜（火焰纹章）
[DOMAIN:标签] [CAT:二次元角色/角色] douma_(kimetsu_no_yaiba) | 童磨（鬼灭之刃）
[DOMAIN:标签] [CAT:二次元角色/作品] soredemo_machi_wa_mawatteiru | 即便如此小镇依然转动
[DOMAIN:标签] [CAT:二次元角色/角色] jett_(valorant) | 捷风（无畏契约）
[DOMAIN:标签] [CAT:二次元角色/作品] minakami_sayo | 水上小夜
[DOMAIN:标签] [CAT:二次元角色/作品] upotte!! | 枪械少女!!
[DOMAIN:标签] [CAT:二次元角色/作品] sky_girls | 天翔少女
[DOMAIN:标签] [CAT:二次元角色/作品] weedle | 独角虫
[DOMAIN:标签] [CAT:二次元角色/作品] taimanin_murasaki | 对魔者紫
[DOMAIN:标签] [CAT:二次元角色/作品] simon_blackquill | 西蒙·布莱克奎尔
[DOMAIN:标签] [CAT:二次元角色/作品] honda_sora | 本田空
[DOMAIN:标签] [CAT:二次元角色/作品] demitri_maximoff | 迪米特里·马克西莫夫
