[DOMAIN:标签] [CAT:物品/动物] mammal | 哺乳动物
[DOMAIN:标签] [CAT:物品/其他物品] coffee_table | 咖啡桌
[DOMAIN:标签] [CAT:物品/其他物品] joker_(playing_card) | 王牌（扑克牌）
[DOMAIN:标签] [CAT:物品/餐具] wok | 炒锅
[DOMAIN:标签] [CAT:物品/食物] chicken_leg | 鸡腿
[DOMAIN:标签] [CAT:物品/其他物品] inflatable_whale | 充气鲸鱼
[DOMAIN:标签] [CAT:物品/食物] chocolate_syrup | 巧克力糖浆
[DOMAIN:标签] [CAT:物品/食物] vodka | 伏特加
[DOMAIN:标签] [CAT:物品/其他物品] circular_saw | 圆锯
[DOMAIN:标签] [CAT:物品/数码设备] dualshock | 双冲击
[DOMAIN:标签] [CAT:物品/其他物品] barbell | 杠铃
[DOMAIN:标签] [CAT:物品/其他物品] eggshell | 蛋壳
[DOMAIN:标签] [CAT:物品/其他物品] rubik's_cube | 魔方
[DOMAIN:标签] [CAT:物品/动物] bald_eagle | 白头海雕
[DOMAIN:标签] [CAT:物品/食物] super_mushroom | 超级蘑菇
[DOMAIN:标签] [CAT:物品/其他物品] glass_door | 玻璃门
[DOMAIN:标签] [CAT:物品/其他物品] bottle_miku | 瓶装初音
[DOMAIN:标签] [CAT:物品/食物] strawberry_slice | 草莓切片
[DOMAIN:标签] [CAT:物品/食物] cherry_tomato | 樱桃番茄
[DOMAIN:标签] [CAT:物品/武器] grenade_pin | 手榴弹插销
[DOMAIN:标签] [CAT:物品/其他物品] table_tennis_paddle | 乒乓球拍
[DOMAIN:标签] [CAT:物品/其他物品] dusk_ball | 黑暗球
[DOMAIN:标签] [CAT:物品/其他物品] tarot_card | 塔罗牌
[DOMAIN:标签] [CAT:物品/食物] udon | 乌冬面
[DOMAIN:标签] [CAT:物品/植物] multicolored_flower | 七彩花
[DOMAIN:标签] [CAT:物品/动物] too_many_cats | 太多猫
[DOMAIN:标签] [CAT:物品/其他物品] boulder | 巨石
[DOMAIN:标签] [CAT:物品/其他物品] pop-up_story | 立体故事书
[DOMAIN:标签] [CAT:物品/其他物品] queen_of_spades_symbol | 黑桃皇后符号
[DOMAIN:标签] [CAT:物品/动物] goat_tail | 山羊尾
[DOMAIN:标签] [CAT:物品/其他物品] tentacles_on_female | 女性触手
[DOMAIN:标签] [CAT:物品/植物] bellflower | 桔梗花
[DOMAIN:标签] [CAT:物品/数码设备] game_boy_(original) | Game Boy（初代）
[DOMAIN:标签] [CAT:物品/植物] lotus_leaf | 荷叶
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_frog | 毛绒青蛙
[DOMAIN:标签] [CAT:物品/成人玩具] enema | 灌肠
[DOMAIN:标签] [CAT:物品/其他物品] print_ribbon | 打印色带
[DOMAIN:标签] [CAT:排除/性行为] cum_on_glasses | 精液溅眼镜
[DOMAIN:标签] [CAT:物品/食物] tomato_slice | 番茄切片
[DOMAIN:标签] [CAT:物品/数码设备] digital_thermometer | 电子体温计
[DOMAIN:标签] [CAT:物品/其他物品] pin | 别针
[DOMAIN:标签] [CAT:排除/性行为] cum_bubble | 精液气泡
[DOMAIN:标签] [CAT:物品/其他物品] yellow_umbrella | 黄色雨伞
[DOMAIN:标签] [CAT:物品/食物] waffle | 华夫饼
[DOMAIN:标签] [CAT:物品/其他物品] trowel | 泥刀
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_unicorn | 独角兽毛绒玩具
[DOMAIN:标签] [CAT:物品/食物] prosciutto | 帕尔玛火腿
[DOMAIN:标签] [CAT:物品/餐具] champagne_bottle | 香槟酒瓶
[DOMAIN:标签] [CAT:物品/其他物品] sleigh | 雪橇
[DOMAIN:标签] [CAT:物品/食物] strawberry_cake | 草莓蛋糕
[DOMAIN:标签] [CAT:物品/植物] cattail | 香蒲
[DOMAIN:标签] [CAT:物品/其他物品] quad_drills | 四头钻机
[DOMAIN:标签] [CAT:物品/植物] cosmos_(flower) | 大波斯菊（花）
[DOMAIN:标签] [CAT:物品/其他物品] diorama | 微缩模型
[DOMAIN:标签] [CAT:物品/动物] welsh_corgi | 威尔士柯基犬
[DOMAIN:标签] [CAT:物品/其他物品] submarine | 潜艇
[DOMAIN:标签] [CAT:物品/其他物品] red_gem | 
[DOMAIN:标签] [CAT:物品/其他物品] golem | 魔像
[DOMAIN:标签] [CAT:物品/其他物品] furoshiki | 风吕敷
[DOMAIN:标签] [CAT:物品/武器] energy_weapon | 能量武器
[DOMAIN:标签] [CAT:物品/武器] bident | bident: 双叉戟
[DOMAIN:标签] [CAT:物品/数码设备] color_timer | 彩色计时器
[DOMAIN:标签] [CAT:物品/动物] white_rabbit_(animal) | 白兔（动物）
[DOMAIN:标签] [CAT:物品/其他物品] chisel | 凿子
[DOMAIN:标签] [CAT:物品/其他物品] nightstand | 床头柜
[DOMAIN:标签] [CAT:物品/数码设备] usb | USB接口
[DOMAIN:标签] [CAT:物品/其他物品] koinobori | 鲤鱼旗
[DOMAIN:标签] [CAT:排除/猎奇血腥] arrow_in_body | 体内箭矢
[DOMAIN:标签] [CAT:物品/植物] twig | 细枝
[DOMAIN:标签] [CAT:物品/其他物品] wall_lamp | 壁灯
[DOMAIN:标签] [CAT:物品/其他物品] shakujou | 锡杖
[DOMAIN:标签] [CAT:物品/食物] asahi_breweries | 朝日啤酒
[DOMAIN:标签] [CAT:物品/其他物品] poison | 毒药
[DOMAIN:标签] [CAT:物品/动物] slug | 蛞蝓
[DOMAIN:标签] [CAT:物品/其他物品] shuangyaji | 双压机
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_bird | 填充鸟玩偶
[DOMAIN:标签] [CAT:物品/动物] gorilla | 大猩猩
[DOMAIN:标签] [CAT:物品/食物] pear | 梨
[DOMAIN:标签] [CAT:物品/其他物品] stop_sign | 停止标志
[DOMAIN:标签] [CAT:物品/其他物品] mailbox_(incoming_mail) | 信箱（来信中）
[DOMAIN:标签] [CAT:物品/其他物品] lampshade | 灯罩
[DOMAIN:标签] [CAT:物品/食物] sprite | 雪碧
[DOMAIN:标签] [CAT:物品/其他物品] block | 方块
[DOMAIN:标签] [CAT:物品/乐器] kagura_suzu | 神乐铃
[DOMAIN:标签] [CAT:物品/其他物品] heart_straw | 心形吸管
[DOMAIN:标签] [CAT:物品/其他物品] wooden_box | 木盒
[DOMAIN:标签] [CAT:物品/其他物品] toothpaste | 牙膏
[DOMAIN:标签] [CAT:物品/数码设备] barcode_scanner | 条码扫描器
[DOMAIN:标签] [CAT:物品/其他物品] ikea_shark | 宜家鲨鱼
[DOMAIN:标签] [CAT:物品/动物] luvdisc | 爱心鱼
[DOMAIN:标签] [CAT:物品/食物] cream_puff | 奶油泡芙
[DOMAIN:标签] [CAT:排除/媒体噪音] twitter_x_logo | 推特X标志
[DOMAIN:标签] [CAT:物品/成人玩具] public_vibrator | 公共振动棒
[DOMAIN:标签] [CAT:物品/其他物品] greek_cross | 希腊十字
[DOMAIN:标签] [CAT:物品/成人玩具] yellow_cum | 黄色精液
[DOMAIN:标签] [CAT:物品/学习用品] toothbrush_in_mouth | 口含牙刷
[DOMAIN:标签] [CAT:物品/其他物品] puppet_rings | 傀儡戒指
[DOMAIN:标签] [CAT:物品/植物] sprout | 萌芽
[DOMAIN:标签] [CAT:物品/其他物品] incense | 熏香
[DOMAIN:标签] [CAT:物品/其他物品] hanafuda | 花札
[DOMAIN:标签] [CAT:物品/其他物品] water_yoyo | 水悠悠球
[DOMAIN:标签] [CAT:物品/食物] cheese_trail | 奶酪痕迹
[DOMAIN:标签] [CAT:物品/食物] chocolate_chip_cookie | 巧克力碎曲奇
[DOMAIN:标签] [CAT:物品/武器] laser_sight | 激光瞄准器
[DOMAIN:标签] [CAT:物品/植物] blue_petals | 蓝色花瓣
[DOMAIN:标签] [CAT:物品/其他物品] russian_flag | 俄罗斯国旗
[DOMAIN:标签] [CAT:物品/动物] piranha_plant | 食人鱼植物
[DOMAIN:标签] [CAT:物品/武器] hylian_shield | 海利亚盾牌
[DOMAIN:标签] [CAT:物品/其他物品] stapler | 订书机
[DOMAIN:标签] [CAT:物品/武器] bamboo_blade | 竹剑
[DOMAIN:标签] [CAT:物品/乐器] piano_bench | 钢琴凳
[DOMAIN:标签] [CAT:物品/其他物品] cryokinesis | 冰冻超能力
[DOMAIN:标签] [CAT:物品/其他物品] oxygen_mask | 氧气面罩
[DOMAIN:标签] [CAT:物品/其他物品] plain_doll | 素体人偶
[DOMAIN:标签] [CAT:物品/其他物品] shared_blanket | 共享毛毯
[DOMAIN:标签] [CAT:物品/数码设备] satellite_dish | 卫星天线
[DOMAIN:标签] [CAT:物品/其他物品] toolbox | 工具箱
[DOMAIN:标签] [CAT:物品/其他物品] mousepad_(object) | 鼠标垫（物品）
[DOMAIN:标签] [CAT:物品/其他物品] hoshi_no_tsue | 星之杖
[DOMAIN:标签] [CAT:排除/性行为] cum_in_cup | 杯中精液
[DOMAIN:标签] [CAT:物品/植物] nemophila_(flower) | 喜林草（花）
[DOMAIN:标签] [CAT:物品/食物] turkey_(food) | 火鸡（食物）
[DOMAIN:标签] [CAT:物品/植物] iris_(flower) | 鸢尾花
[DOMAIN:标签] [CAT:物品/食物] jiaozi | 饺子
[DOMAIN:标签] [CAT:物品/其他物品] keyring | 钥匙圈
[DOMAIN:标签] [CAT:物品/其他物品] slide | 滑梯
[DOMAIN:标签] [CAT:物品/其他物品] chocolate_on_face | 脸上巧克力
[DOMAIN:标签] [CAT:物品/餐具] spork | 勺叉
[DOMAIN:标签] [CAT:物品/其他物品] cue_stick | 台球杆
[DOMAIN:标签] [CAT:物品/其他物品] diagram | 示意图
[DOMAIN:标签] [CAT:物品/食物] bell_pepper | 甜椒
[DOMAIN:标签] [CAT:物品/食物] egg_yolk | 蛋黄
[DOMAIN:标签] [CAT:物品/其他物品] cocktail_shaker | 鸡尾酒调酒器
[DOMAIN:标签] [CAT:物品/食物] kebab | 烤肉串
[DOMAIN:标签] [CAT:物品/武器] ruyi_jingu_bang | 如意金箍棒
[DOMAIN:标签] [CAT:物品/武器] schwertkreuz | 剑十字
[DOMAIN:标签] [CAT:物品/动物] white_dog | 白犬
[DOMAIN:标签] [CAT:物品/其他物品] traffic_baton | 交通指挥棒
[DOMAIN:标签] [CAT:物品/植物] horn_flower | 角状花
[DOMAIN:标签] [CAT:物品/其他物品] ring-con | 健身环
[DOMAIN:标签] [CAT:物品/其他物品] mimic_chest | 拟态宝箱
[DOMAIN:标签] [CAT:物品/食物] tuna | 金枪鱼
[DOMAIN:标签] [CAT:物品/其他物品] wooden_bench | 木长椅
[DOMAIN:标签] [CAT:物品/植物] carnation | 康乃馨
[DOMAIN:标签] [CAT:物品/其他物品] black_pouch | 黑色小袋
[DOMAIN:标签] [CAT:物品/数码设备] minimap | 迷你地图
[DOMAIN:标签] [CAT:物品/学习用品] pen_in_pocket | 口袋插笔
[DOMAIN:标签] [CAT:物品/食物] aburaage | 油炸豆腐
[DOMAIN:标签] [CAT:物品/其他物品] shopping_basket | 购物篮
[DOMAIN:标签] [CAT:物品/成人玩具] condom_left_inside | 内置避孕套
[DOMAIN:标签] [CAT:物品/植物] hay | 干草
[DOMAIN:标签] [CAT:物品/动物] hoppip | 毽子草
[DOMAIN:标签] [CAT:物品/动物] lilligant | 裙儿小姐
[DOMAIN:标签] [CAT:物品/武器] artillery | 火炮
[DOMAIN:标签] [CAT:物品/学习用品] diploma | 毕业证书
[DOMAIN:标签] [CAT:物品/其他物品] ball_of_yarn | 毛线球
[DOMAIN:标签] [CAT:物品/动物] brown_cat | 棕色猫
[DOMAIN:标签] [CAT:物品/其他物品] crosshair | crosshair: 十字准星
[DOMAIN:标签] [CAT:物品/植物] white_petals | 白色花瓣
[DOMAIN:标签] [CAT:物品/其他物品] poop | 粪便
[DOMAIN:标签] [CAT:物品/武器] beretta_1301 | 伯莱塔1301
[DOMAIN:标签] [CAT:物品/武器] kriss_vector | 克里斯矢量
[DOMAIN:标签] [CAT:物品/植物] pink_tulip | 粉色郁金香
[DOMAIN:标签] [CAT:物品/其他物品] basketball_hoop | 篮球框
[DOMAIN:标签] [CAT:物品/其他物品] floating_sword | 悬浮剑
[DOMAIN:标签] [CAT:物品/武器] tiger_i | 虎式I型坦克
[DOMAIN:标签] [CAT:物品/其他物品] pon_de_ring | 波堤圈
[DOMAIN:标签] [CAT:物品/乐器] cymbals | 钹
[DOMAIN:标签] [CAT:物品/其他物品] conch | 海螺
[DOMAIN:标签] [CAT:物品/其他物品] seaplane | 水上飞机
[DOMAIN:标签] [CAT:物品/其他物品] steam_locomotive | 蒸汽机车
[DOMAIN:标签] [CAT:物品/食物] animal-themed_food | 动物主题食物
[DOMAIN:标签] [CAT:物品/食物] double_scoop | 双球冰淇淋
[DOMAIN:标签] [CAT:物品/数码设备] multiple_monitors | 多显示器
[DOMAIN:标签] [CAT:物品/乐器] instrument_on_back | 背上的乐器
[DOMAIN:标签] [CAT:物品/武器] nameless_dagger_(fate) | 无名匕首（Fate）
[DOMAIN:标签] [CAT:物品/其他物品] planted_umbrella | 插地伞
[DOMAIN:标签] [CAT:物品/武器] spiked_ball_and_chain | 尖刺链球
[DOMAIN:标签] [CAT:物品/其他物品] fighting_game | 格斗游戏
[DOMAIN:标签] [CAT:物品/其他物品] swing_set | 秋千架
[DOMAIN:标签] [CAT:物品/其他物品] puzzle_piece | 拼图碎片
[DOMAIN:标签] [CAT:物品/数码设备] cd_case | cd case: CD盒
[DOMAIN:标签] [CAT:物品/武器] z_saber | Z光剑
[DOMAIN:标签] [CAT:物品/其他物品] wool | 羊毛
[DOMAIN:标签] [CAT:物品/食物] pepsi | 百事可乐
[DOMAIN:标签] [CAT:物品/其他物品] heater | 取暖器
[DOMAIN:标签] [CAT:物品/成人玩具] tenga | 天雅
[DOMAIN:标签] [CAT:物品/其他物品] kite | 风筝
[DOMAIN:标签] [CAT:物品/其他物品] pitchfork | 草叉
[DOMAIN:标签] [CAT:物品/其他物品] mazda | 马自达
[DOMAIN:标签] [CAT:物品/其他物品] snowboard | 滑雪板
[DOMAIN:标签] [CAT:物品/其他物品] iv_stand | 输液架
[DOMAIN:标签] [CAT:物品/武器] staff_of_selection_(fate) | 选定之杖（Fate）
[DOMAIN:标签] [CAT:物品/其他物品] canopy_(aircraft) | 座舱盖（航空器）
[DOMAIN:标签] [CAT:物品/动物] crocodile | 鳄鱼
[DOMAIN:标签] [CAT:物品/食物] strong_zero | 强零
[DOMAIN:标签] [CAT:物品/其他物品] crumpled_paper | 揉皱的纸
[DOMAIN:标签] [CAT:物品/其他物品] sleeping_bag | 睡袋
[DOMAIN:标签] [CAT:物品/动物] butterflyfish | 蝶鱼
[DOMAIN:标签] [CAT:物品/动物] swan | 天鹅
[DOMAIN:标签] [CAT:物品/武器] ballistic_shield | 防弹盾牌
[DOMAIN:标签] [CAT:物品/植物] tendril | 卷须
[DOMAIN:标签] [CAT:物品/食物] nori_(seaweed) | nori (seaweed): 海苔
[DOMAIN:标签] [CAT:物品/植物] tree_horns | 树角
[DOMAIN:标签] [CAT:物品/其他物品] sail | 船帆
[DOMAIN:标签] [CAT:物品/其他物品] bed_frame | 床架
[DOMAIN:标签] [CAT:物品/其他物品] squat_toilet | 蹲便器
[DOMAIN:标签] [CAT:物品/其他物品] aircraft_carrier | 航空母舰
[DOMAIN:标签] [CAT:物品/其他物品] phone_booth | 电话亭
[DOMAIN:标签] [CAT:物品/学习用品] board_eraser | 板擦
[DOMAIN:标签] [CAT:物品/植物] pansy | 三色堇
[DOMAIN:标签] [CAT:物品/武器] beam_cannon | 光束炮
[DOMAIN:标签] [CAT:物品/乐器] kantele | 康特勒琴
[DOMAIN:标签] [CAT:物品/食物] character-themed_food | 角色主题食物
[DOMAIN:标签] [CAT:物品/其他物品] starfighter | 星际战斗机
[DOMAIN:标签] [CAT:物品/动物] pokemon_on_lap | 膝上宝可梦
[DOMAIN:标签] [CAT:物品/武器] dragonslayer_(sword) | 屠龙剑
[DOMAIN:标签] [CAT:物品/其他物品] boomerang | 回旋镖
[DOMAIN:标签] [CAT:物品/餐具] wooden_spoon | 木勺
[DOMAIN:标签] [CAT:物品/数码设备] eotech | 全息瞄准镜
[DOMAIN:标签] [CAT:物品/数码设备] wireless_earphones | 无线耳机
[DOMAIN:标签] [CAT:物品/乐器] half_note | 二分音符
[DOMAIN:标签] [CAT:物品/乐器] saxophone | 萨克斯管
[DOMAIN:标签] [CAT:物品/数码设备] boombox | 手提音响
[DOMAIN:标签] [CAT:物品/其他物品] peril | 险境
[DOMAIN:标签] [CAT:物品/植物] lavender_(flower) | 薰衣草（花）
[DOMAIN:标签] [CAT:物品/其他物品] email_address | 邮箱地址
[DOMAIN:标签] [CAT:物品/其他物品] food-themed_creature | 食物主题生物
[DOMAIN:标签] [CAT:物品/其他物品] flower_basket | 花篮
[DOMAIN:标签] [CAT:物品/其他物品] razor | 剃刀
[DOMAIN:标签] [CAT:物品/其他物品] oil_lamp | 油灯
[DOMAIN:标签] [CAT:物品/食物] ice_cream_cup | 冰淇淋杯
[DOMAIN:标签] [CAT:物品/其他物品] heart_wand | 心形魔杖
[DOMAIN:标签] [CAT:物品/其他物品] clam | 蛤蜊
[DOMAIN:标签] [CAT:物品/食物] melon_soda | 蜜瓜汽水
[DOMAIN:标签] [CAT:物品/其他物品] piko_piko_hammer | 砰砰锤
[DOMAIN:标签] [CAT:物品/其他物品] metal_baseball_bat | 金属棒球棍
[DOMAIN:标签] [CAT:物品/其他物品] target | 靶心
[DOMAIN:标签] [CAT:物品/食物] liquor | 烈酒
[DOMAIN:标签] [CAT:物品/成人玩具] colored_condom | 彩色避孕套
[DOMAIN:标签] [CAT:物品/食物] tako-san_wiener | 章鱼香肠
[DOMAIN:标签] [CAT:物品/武器] nunchaku | 双节棍
[DOMAIN:标签] [CAT:物品/其他物品] gelatin | 明胶
[DOMAIN:标签] [CAT:物品/动物] sacabambaspis | 萨克巴姆巴斯鱼
[DOMAIN:标签] [CAT:物品/食物] pastry_box | 糕点盒
[DOMAIN:标签] [CAT:物品/其他物品] super_star_(mario) | 超级星星（马里奥）
[DOMAIN:标签] [CAT:物品/武器] nagant_revolver_(girls'_frontline) | 纳甘左轮（少女前线）
[DOMAIN:标签] [CAT:物品/数码设备] radar | 雷达
[DOMAIN:标签] [CAT:物品/其他物品] medicine | 药品
[DOMAIN:标签] [CAT:物品/数码设备] vf-1 | VF-1
[DOMAIN:标签] [CAT:物品/其他物品] clow_card | 库洛牌
[DOMAIN:标签] [CAT:物品/植物] pinecone | 松果
[DOMAIN:标签] [CAT:物品/食物] red_bull | 红牛
[DOMAIN:标签] [CAT:物品/其他物品] mousepad_(medium) | 鼠标垫（中号）
[DOMAIN:标签] [CAT:物品/动物] tyrannosaurus_rex | 霸王龙
[DOMAIN:标签] [CAT:物品/其他物品] poketch | 宝可表
[DOMAIN:标签] [CAT:物品/其他物品] energy_barrier | 能量屏障
[DOMAIN:标签] [CAT:物品/其他物品] iron_blood_(emblem) | 铁血（徽章）
[DOMAIN:标签] [CAT:物品/其他物品] paperclip | 回形针
[DOMAIN:标签] [CAT:物品/其他物品] fire_extinguisher | 灭火器
[DOMAIN:标签] [CAT:物品/植物] orchid | 兰花
[DOMAIN:标签] [CAT:物品/武器] heavy_machine_gun | 重机枪
[DOMAIN:标签] [CAT:物品/其他物品] pravda_(emblem) | 真理（徽章）
[DOMAIN:标签] [CAT:物品/学习用品] post-it_note | 便利贴
[DOMAIN:标签] [CAT:物品/武器] tank_shell | 坦克炮弹
[DOMAIN:标签] [CAT:物品/其他物品] choshanland_plushy_(arknights) | 楚山兰玩偶（明日方舟）
[DOMAIN:标签] [CAT:物品/动物] eurasian_tree_sparrow | 树麻雀
[DOMAIN:标签] [CAT:物品/其他物品] knitting | 编织
[DOMAIN:标签] [CAT:物品/其他物品] noren | 暖帘
[DOMAIN:标签] [CAT:物品/其他物品] body_pillow | 抱枕
[DOMAIN:标签] [CAT:物品/武器] rpg_(weapon) | 火箭筒（武器）
[DOMAIN:标签] [CAT:物品/乐器] taiko_drum | 太鼓
[DOMAIN:标签] [CAT:物品/动物] pony_(animal) | 小马（动物）
[DOMAIN:标签] [CAT:物品/动物] lobster | 龙虾
[DOMAIN:标签] [CAT:物品/成人玩具] unworn_gag | 未使用口塞
[DOMAIN:标签] [CAT:物品/其他物品] fishing_hook | 鱼钩
[DOMAIN:标签] [CAT:物品/食物] lunchbox | 便当盒
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_whale | 鲸鱼玩偶
[DOMAIN:标签] [CAT:物品/其他物品] no_symbol | 禁止符号
[DOMAIN:标签] [CAT:物品/其他物品] gunpla | 高达模型
[DOMAIN:标签] [CAT:物品/其他物品] pegleg | 木制假腿
[DOMAIN:标签] [CAT:物品/食物] milkshake | 奶昔
[DOMAIN:标签] [CAT:物品/餐具] coffee_maker | 咖啡机
[DOMAIN:标签] [CAT:物品/其他物品] rubber_band | 橡皮筋
[DOMAIN:标签] [CAT:物品/武器] myrtenaster | 米尔汀娜斯特
[DOMAIN:标签] [CAT:物品/其他物品] biplane | 双翼飞机
[DOMAIN:标签] [CAT:物品/数码设备] battery | 电池
[DOMAIN:标签] [CAT:物品/动物] giraffe | 长颈鹿
[DOMAIN:标签] [CAT:物品/其他物品] getabako | 下驮箱
[DOMAIN:标签] [CAT:物品/其他物品] nesoberi | 压泡面
[DOMAIN:标签] [CAT:物品/其他物品] core | 核心
[DOMAIN:标签] [CAT:物品/其他物品] millennium_puzzle | 千年积木
[DOMAIN:标签] [CAT:物品/其他物品] yen_sign | 日元符号
[DOMAIN:标签] [CAT:物品/食物] nigirizushi | 握寿司
[DOMAIN:标签] [CAT:物品/其他物品] pliers | 钳子
[DOMAIN:标签] [CAT:物品/其他物品] boom_barrier | 道闸栏杆
[DOMAIN:标签] [CAT:物品/食物] apple_slice | 苹果切片
[DOMAIN:标签] [CAT:物品/食物] alcohol_carton | 酒类纸盒
[DOMAIN:标签] [CAT:物品/食物] naked_chocolate | 生巧克力
[DOMAIN:标签] [CAT:物品/食物] mayonnaise | 蛋黄酱
[DOMAIN:标签] [CAT:物品/武器] funnels_(gundam) | 浮游炮（高达）
[DOMAIN:标签] [CAT:物品/其他物品] treasure | 宝藏
[DOMAIN:标签] [CAT:物品/食物] oden | 关东煮
[DOMAIN:标签] [CAT:物品/武器] ima-no-tsurugi | 今之剑
[DOMAIN:标签] [CAT:物品/餐具] shot_glass | 烈酒杯
[DOMAIN:标签] [CAT:物品/其他物品] pixel_heart | 像素心形
[DOMAIN:标签] [CAT:物品/餐具] rice_cooker | 电饭煲
[DOMAIN:标签] [CAT:物品/其他物品] hot_air_balloon | 热气球
[DOMAIN:标签] [CAT:物品/武器] tank_turret | 坦克炮塔
[DOMAIN:标签] [CAT:物品/成人玩具] dildo_under_panties | 内裤下的假阳具
[DOMAIN:标签] [CAT:物品/动物] ant | 蚂蚁
[DOMAIN:标签] [CAT:物品/餐具] salt_shaker | 盐瓶
[DOMAIN:标签] [CAT:物品/其他物品] tote_bag | 托特包
[DOMAIN:标签] [CAT:物品/植物] oran_berry | 橙橙果
[DOMAIN:标签] [CAT:物品/植物] rose_bush | 玫瑰花丛
[DOMAIN:标签] [CAT:物品/乐器] ocarina | 陶笛
[DOMAIN:标签] [CAT:物品/动物] black_butterfly | 黑蝴蝶
[DOMAIN:标签] [CAT:物品/其他物品] fish_skeleton | 鱼骨
[DOMAIN:标签] [CAT:物品/学习用品] kindergarten_bag | 幼儿园背包
[DOMAIN:标签] [CAT:物品/其他物品] beyblade | 陀螺战士
[DOMAIN:标签] [CAT:物品/其他物品] postbox_(outgoing_mail) | 邮筒（外发邮件）
[DOMAIN:标签] [CAT:物品/其他物品] traffic_mirror | 交通镜
[DOMAIN:标签] [CAT:物品/食物] hamburger_steak | 汉堡排
[DOMAIN:标签] [CAT:物品/其他物品] handrail | 扶手栏杆
[DOMAIN:标签] [CAT:物品/植物] mistletoe | 槲寄生
[DOMAIN:标签] [CAT:物品/其他物品] billiard_ball | 台球
[DOMAIN:标签] [CAT:物品/武器] m16a1 | M16A1步枪
[DOMAIN:标签] [CAT:物品/食物] chocolate_cornet | 巧克力牛角包
[DOMAIN:标签] [CAT:物品/其他物品] kayari_buta | 蚊遣豚
[DOMAIN:标签] [CAT:物品/其他物品] single_drill | single drill: 单钻头
[DOMAIN:标签] [CAT:物品/其他物品] canister | 罐装容器
[DOMAIN:标签] [CAT:物品/动物] tiger_cub | 幼虎
[DOMAIN:标签] [CAT:物品/其他物品] marionette | 牵线木偶
[DOMAIN:标签] [CAT:物品/武器] foregrip | 前握把
[DOMAIN:标签] [CAT:物品/武器] staff_of_homa_(genshin_impact) | 护摩之杖（原神）
[DOMAIN:标签] [CAT:物品/武器] gate_of_babylon_(fate) | 巴比伦之门（Fate）
[DOMAIN:标签] [CAT:物品/动物] crustacean | 甲壳类
[DOMAIN:标签] [CAT:物品/其他物品] pink_innertube | 粉色游泳圈
[DOMAIN:标签] [CAT:物品/动物] angelfish | 天使鱼
[DOMAIN:标签] [CAT:物品/食物] pizza_hut | 必胜客
[DOMAIN:标签] [CAT:物品/其他物品] disco_ball | 迪斯科球
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_fish | 填充鱼玩具
[DOMAIN:标签] [CAT:物品/其他物品] delivery | 配送服务
[DOMAIN:标签] [CAT:物品/数码设备] single_earphone_removed | 单边耳机取下
[DOMAIN:标签] [CAT:物品/乐器] euphonium | 上低音号
[DOMAIN:标签] [CAT:物品/其他物品] ips_cells | iPS细胞
[DOMAIN:标签] [CAT:物品/其他物品] queen_(playing_card) | 皇后（扑克牌）
[DOMAIN:标签] [CAT:物品/其他物品] turntable | 转盘
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_sheep | 填充绵羊
[DOMAIN:标签] [CAT:物品/数码设备] ipad | iPad
[DOMAIN:标签] [CAT:物品/其他物品] grate | 栅格
[DOMAIN:标签] [CAT:物品/食物] tanghulu | 糖葫芦
[DOMAIN:标签] [CAT:物品/食物] cheesecake | 芝士蛋糕
[DOMAIN:标签] [CAT:物品/其他物品] starting_block | 起跑器
[DOMAIN:标签] [CAT:物品/其他物品] puzzle | 解谜
[DOMAIN:标签] [CAT:物品/其他物品] string_of_light_bulbs | 灯泡串
[DOMAIN:标签] [CAT:物品/其他物品] cupping_glass | 拔火罐
[DOMAIN:标签] [CAT:物品/乐器] shamisen | 三味线
[DOMAIN:标签] [CAT:物品/数码设备] sheikah_slate | 希卡石板
[DOMAIN:标签] [CAT:物品/武器] ammunition_box | 弹药箱
[DOMAIN:标签] [CAT:物品/其他物品] sledgehammer | 大锤
[DOMAIN:标签] [CAT:物品/其他物品] stuffing | 填充物
[DOMAIN:标签] [CAT:物品/乐器] horn_(instrument) | 号角（乐器）
[DOMAIN:标签] [CAT:物品/其他物品] engine | 发动机
[DOMAIN:标签] [CAT:物品/其他物品] empty_picture_frame | 空画框
[DOMAIN:标签] [CAT:物品/其他物品] poker | 扑克
[DOMAIN:标签] [CAT:排除/媒体噪音] youtube_logo | YouTube标识
[DOMAIN:标签] [CAT:物品/成人玩具] okamoto_condoms | 冈本避孕套
[DOMAIN:标签] [CAT:物品/动物] caterpillar | 毛毛虫
[DOMAIN:标签] [CAT:物品/动物] wild_tiger | 野生虎
[DOMAIN:标签] [CAT:物品/其他物品] eagle_union_(emblem) | 白鹰联盟（徽章）
[DOMAIN:标签] [CAT:排除/媒体噪音] latin_text | 拉丁文字
[DOMAIN:标签] [CAT:物品/餐具] champagne_glass | 香槟杯
[DOMAIN:标签] [CAT:物品/其他物品] moriya's_iron_rings | 守矢铁环
[DOMAIN:标签] [CAT:物品/其他物品] knitting_needle | 编织针
[DOMAIN:标签] [CAT:物品/其他物品] dynamite | 炸药
